Event #,Placement,Final,Prelim Time,Time,SwimcloudID,,,,
7,20,C,00:24.10,00:24.02,1681050,,,,
7,21,C,00:24.01,00:24.02,2060895,,,,
7,22,C,00:24.04,00:24.22,1375167,,,,
7,23,C,00:24.17,00:24.40,455866,,,,
7,24,C,00:24.17,00:24.71,1366123,,,,
8,1,A,00:19.72,00:19.79,1326103,,,,
8,2,A,00:20.02,00:19.80,1292786,,,,
8,3,A,00:20.20,00:20.01,661103,,,,
8,4,A,00:20.19,00:20.11,547260,,,,
8,5,A,00:20.01,00:20.14,1467314,,,,
8,6,A,00:20.07,00:20.26,584931,,,,
8,7,A,00:20.27,00:20.28,1276879,,,,
8,8,A,00:20.10,00:20.31,2241540,,,,
8,9,B,00:20.55,00:20.06,1332184,,,,
8,10,B,00:20.31,00:20.14,1290574,,,,
8,11,B,00:20.36,00:20.18,1457240,,,,
8,12,B,00:20.47,00:20.19,1337638,,,,
8,13,B,00:20.40,00:20.35,1261214,,,,
8,14,B,00:20.39,00:20.40,1517341,,,,
8,15,B,00:20.47,00:20.58,551557,,,,
8,16,B,00:20.61,00:20.77,661945,,,,
8,17,C,00:20.81,00:20.60,468910,,,,
8,18,C,00:20.72,00:20.74,1467791,,,,
8,19,C,00:20.94,00:20.75,2434193,,,,
8,20,C,00:20.74,00:20.78,1127289,,,,
8,21,C,00:20.85,00:20.87,510665,,,,
8,22,C,00:20.70,00:21.00,1054691,,,,
8,23,C,00:20.94,00:21.09,1498184,,,,
8,24,C,00:20.98,00:21.30,653027,,,,
